哀悼	参加追悼会的人向死者表示深切的哀悼。//$
不止	她受伤了，头上流血不止。/听了他的话，大家都大笑不止。/他一闻烟味就咳嗽不止。/鼻子流血不止的时候，别低着头。/$这本书我看了不止十遍。/不止一个人告诉我你住院了。/他结婚花了三万块钱?我觉得不止。/不止是你，我也被他骗了很多钱。//$
不至于	他在北京一年，连长城都不知道?不至于吧?。/他不至于连火车都没见过吧?。/她不至于傻到这种程度吧?。/她不至于连女儿的生日都忘了吧?//$
布	沿路布满了志愿者。/布下了圈套。/$
布置	布置得不错。/你们把会场布置一下。/学生们晚上要联欢，正在布置教室。/他俩在布置新房，准备结婚。/$老师布置了很多作业。/主任在布置新的任务。//$
步行	我们想步行去郊区玩儿。/去那儿，步行要三个小时。/爸爸每天步行上班。/去那儿不通汽车，只能步行。//$
部署	在战场上部署兵力。/领导在会议上向我们部署工作。/我们在敌人的正面部署了两千人的兵力。/完成这个任务需要精心部署。/这样的部署有利于计划的完成。/人员的部署已经搞好了。//$
擦	请把桌子擦干净。/学生帮老师擦黑板。/$汽车上的漆被擦掉了一块。/他的手擦出血了。//$衣服领子上多擦点儿肥皂容易洗干净。//$
猜	你猜我有多大年纪?。/我猜了半天也没猜出来。//$
裁	这块布够裁两件衣服。/你用刀把这张纸裁成两半就行了。//$工厂裁了不少人。/经济不好，已有很多公司在裁人。//$
裁减	因为出现经济困难，公司不得不裁减投资项目。/这个公司的职员已经从45个人裁减到30个人了。//$
裁决	是否有罪，法庭会做出裁决。/这事正等待有关机构裁决。/双方都希望能得到公正的裁决。/在比赛中，运动员要服从裁判员的裁决。//$
裁判	他不服裁判。/我觉得他裁判得很公正./$
采	不许在公园里菜花。/星期天我们去树林里采了很多蘑菇。//$为保护环境，禁止乱采乱挖。//为了改良作物品种,要做好采种工作。//$
采伐	合理采伐森林。/为了保护环境，禁止采伐森林。/他们过去靠采伐树木生活，现在靠植树种草生活。//$
采访	地方领导接受报社记者采访。/他们冒险到前线采访。//$
采购	他们一家到超市采购食品。/公司领导带队到国外采购机器设备。/$
采取	老师采取一对一的办法来帮助学习困难的学生。/你准备采取什么态度解决这个问题?//$
采用	领导采用了他的合理建议。/医生对病人采用了新的疗法。/他们采用最新技术来解决这个难题。//$
睬	他不讲道理，你不要睬他。/见到熟人要打招呼，别不睬人。/我喊了好几声“爸爸”，他也不睬我。//$
踩	她走路都怕踩到蚂蚁。/他不太会跳舞，一不小心就踩了人家的脚。//$
参观	学校组织学生参观了自然博物馆。/参观人数太多，要注意安全。//$
参加	他去年就参加了公司的工会组织。/她有信心参加全国运动会。/他今年十八岁，第一次参加选举。//$
参谋	有他参谋，我们就可以提前完成计划了。/这个问题我考虑不好，你帮我参谋参谋。/$
参赛	现在报名参赛的运动员已经有三千多名了。/参赛运动员的名单已经确定了。/她今天没有参赛。/他选了一幅最满意的画作为这次的参赛作品。//$
参与	他参与了这个工程的设计。/这个问题很复杂，不懂就不要参与讨论。/上级要求参与这次秘密行动的人越少越好。//$
参展	这次商品交易会严格禁止劣质产品参展。/参展公司要做好宣传工作。/参展的产品都卖出去了。/报名参展的公司多极了。//$
参考	这篇文章主要参考了王先生的观点。/这部著作参考了很多别人的研究成果。/$以上意见仅供参考。/这本书的参考价值很高。/大家的意见值得参考。//$
残	在交通事故中，汽车把他的腿压残了。/在暴风雪里冻了一夜，一只脚残了。/这只花瓶是残的，不能卖。//$
残废	一场大火把他烧残废了。/他的左手残废了。/在这场车祸中，一人死亡，三人残废。/$
惨败	我军大胜，敌军惨败。/这次比赛，我们跟他们力量差得太远了，被他们打得惨败。/这场比赛的惨败，是因为我们不了解对方的特点。//$
藏	你别藏了，我已经看见你了。/敌人来了，他们就藏起来。/把钱藏起来。/他们把贵重物品藏在保险箱里。/你把东西藏哪儿了，我怎么找不着啊?/$校图书馆藏有200万册图书。/陈列馆藏了几幅名画。/家里藏了很多古书。//$
操持	家里的事情都是妈妈一个人操持，很辛苦。/公司大小事情都由他操持。/他的婚礼是哥哥，嫂子操持的。//$
操纵	他操纵机器很熟练。/要学会操纵这种机器可不容易。/这么复杂的设备我怕操纵不了。/$这次行动一定有人在背后操纵。/你不要被人操纵，要用自己的脑子想一想。//$
操作	操作程序。/操作方法。/要求学生能熟练地操作电脑。/在机器上操作时一定要注意安全。//$
测	用仪器测了以后才发现，这里的空气污染很严重。//$人的心最难测。//$
测量	他的工作是测量海水污染程度。/他们准确测量出这座山峰的高度。//$
测试	通过这次考试测试学生的口语能力。/我已经通过了汉语测试。/$机器已经安装完了，正在进行测试，然后才能开工生产。/我们对每一辆要出厂的汽车都要进行严格的测试。/这台电视机合格不合格，测试之后才知道。//$
测验	测验新产品的性能。/测验动物的反应能力。/$我们每星期有一次测验。/每一次测验他的成绩都不错。//$
蹭	这头牛靠在树上蹭来蹭去，可能是被小虫子咬了。/他不小心被桌子角蹭破了皮。//$油漆没干，小心蹭到衣服上。/他胳膊上的泥蹭了我一身。//$脚疼走不快，只好慢慢蹭。/前面交通堵塞，后面的汽车只能一点儿一点儿往前蹭。/走了一天，实在走不动了，只能一步一步往前蹭。//$
辞	辞旧岁，迎新春。/他怎么没说一声就走了?不辞而别。//$因为工作中出了严重错误，他被公司辞了。/他拼命工作，怕被工厂辞了。/这家企业快要倒闭了，听说已经辞了不少员工。//$他辞了工作，去英国留学去了。/为了照顾生病的婆婆，她把工作也辞了。//$
辞退	他经常旷工，被公司辞退了。/被公司辞退没两天，她就出国去了。/工厂不能辞退怀孕的女工。/这家企业为了减少亏损，不得不辞退部分员工。/$
伺候	孩子都不在身边，他怕老了没人伺候。/她伺候生病的丈夫十几年了。/$
刺	他被刺伤了。/他被刺了一剑。//$你别再拿话刺他了，他会生气的。/她说话喜欢刺人，别理她。/$
刺激	这次考试失败对她刺激很大。/你的话太刺激人了。/他的大脑受过刺激，有些不正常。/他觉得生活太没意思了，想到沙漠里去旅游，寻找一点儿新的刺激。//$
赐	皇帝赐给这位大臣很多财产。/他这个官是皇帝赐的。/$请赐复。/欢迎广大作者赐稿。///$
赐予	国王赐予他权力。/上帝赐予他力量。/父母赐予他智慧。//$
赐教	敬请赐教。/感谢多次赐教。/$
从事	从事文艺创作。/从事房地产开发。/从事农业生产劳动。/从事商业贸易活动。/从事民办教育事业。//$
凑	咱们凑点儿钱帮帮这位病人。/大家把调查的情况在一起凑了凑。/请大家快报名，凑足了人数才能去旅游。//$凑个热闹。/凑这个机会，大家聚一聚。/$
凑合	他们四个人经常凑合在一起打牌。/这两个人总凑合在一块儿。/好的水果和坏的水果要分开，不然凑合在一起烂得快。/$他和他妻子没感情，只是凑合着过罢了。/菜不够，大家凄合凑合吃吧。/他们来不及回到住地，只好在野外凑合一夜了。/这双鞋是太旧了，但还能凑合着穿，以后有钱再买新的吧。//$
促	抓教育，促经济。/你要促他一下，否则难以按时完成。//$
促成	他们经过努力，终于促成了这次合作。/两校合并是双方共同促成的。/是老师促成了他俩的婚事。//$
促进	努力促进科技发展。/技术进步促进了生产力的发展。/这次体育比赛促进了两国的友谊。/新的工资制度促进了大家工作的积极性。//$
促使	父母的话促使他改变了主意。/中国加入世界贸易组织，促使各企业提高产品的国际竞争力。/来到中国遇到了语言障碍，这促使他努力学习汉语。//$
促销	这是一次商业促销活动。/企业首先要提高产品质量，而不能仅仅通过广告来促销。/这家公司通过模特表演来促销他们的服装。/
攒(攢)	他攒了一台电脑。/这辆自行车是他自己攒的，不是买的。//$
窜	兔子一下子窜进了玉米地。/孩子们到处乱窜。/别在我面前窜来窜去。//$
催	妈妈催他赶紧起床。/我写字，你别催我，一催我，我就写不好了。/老师催她快点儿变作业。/都九点了，我要是不催他，他还不走呢。//$
摧残	他被摧残得成了残废。/戒烟吧，别摧残自己了。/黄色书刊摧残了多少青少年的心灵啊!。/旧的教育制度简直是摧残儿童。//$
摧毁	大风摧毁了小屋。/炮火把敌人的阵地完全摧毁了。/小桥被洪水彻底摧毁了。//$
存	水果最好存在冰箱里。/书库里存的书真多。/粮食要存在通风的地方。//$这里日夜可以存自行车。/火车站可以存行李。/我有一箱子衣服存在同学家里。//$存了不少钱。/奶奶舍不得花钱，把钱都存起来了。/她在银行里存了一笔钱。//$
存在	这次考试还存在不少问题。/这个造纸厂至今还存在污染空气的问题。/社会仍然存在着不公平的现象。/东西方文化存在着明显的差异。//$
存放	把贵重物品存放好。/这个仓库可以存放一百吨粮食。/我把行李存放在朋友家里了。/超市门口可以存放自行车。//$
存款	第一次存款要带身份证。/他在工商银行存款，我在农业银行存款。/存款需要去银行，但是可以在自动取款机上取款。/$
搓	衣服搓得很干净。/她先把衣服的领子拦一搓再放到洗衣机里。//$
磋商	这个问题还需要进一步磋商才能有一致的看法。/磋商的结果是双方都作出了让步。/我对他的观点有不同看法，想找机会跟他磋商磋商。//$
挫败	他们又一次挫败了敌人的阴谋。/警方挫败了犯罪分子的贩毒计划。//$
挫伤	不要挫伤孩子的好奇心。/这次事故挫伤了他的积极性。//$
锉	这把锯不快了，要用锉锉一下。/桌子腿不一样齐，他用锉给锉齐了。//$
